tree_id,tree_name,dedication_type,dedication_year,dedication_honoree,dedication_desc,scientific_name,additional_taxonomy,height_class,diameter_breast_height,age_class,canopy_radius,condition
86,Cornelian Cherry Dogwood,N/A,,,,Cornus mas,,Small,3 in.,Mature,10 ft.,Good
87,Cornelian Cherry Dogwood,N/A,,,,Cornus mas,,Small,3 in.,Mature,10 ft.,Good
89,Lavalle Hawthorn,N/A,2012,EC&C,,Crataegus x lavallei,nitida,Medium,11 in.,Mature,15 ft.,Good
90,Shingle Oak,To honor,1993,John and Elizabeth Jump,In ground marker,Quercus imbricaria,,Large,15 in.,Mature,10 ft.,Fair
91,American Linden,Memorial,1997,Rev. Milton L. Straube & Edna M. Schumann Straube,In ground marker,Tilia americana,Redmond,Small,2 in.,Young,4 ft.,Good
92,European Beech,To honor,2014,Richard Paulsen,In ground marker,Fagus sylvatica,Swat Magret,Medium,5 in.,Young,6 ft.,Good
96,Elm,Commemorative tree,2013,The Liberty Tree,In ground marker,Ulmus sp,Accolade,Large,5 in.,Young,6 ft.,Good
97,Elm,To honor,2009,Karen Jurcazak,In ground marker,Ulmus sp,Patriot,Medium,2 in.,Young,1 ft.,Good
98,European Beech,To honor,0,Vicki Sliger and Jennifer Hamilton,In ground marker,Fagus sylvatica,Riversii,Medium,8 in.,Semi-mature,10 ft.,Good
99,European Beech,To honor,1997,Jennifer Hamilton,In ground marker,Fagus sylvatica,Laciniata,Medium,,Semi-mature,15 ft.,Good
100,Common Sweetgum,Memorial,0,Donald R. Fearn,In ground marker,Liquidambar styraciflua,,Large,18 in.,Mature,10 ft.,Good
102,Colorado Blue Spruce,N/A,,,,Picea pungens,,Large,15 in.,Mature,10 ft.,Good
103,Colorado Blue Spruce,N/A,,,,Picea pungens,,Large,12 in.,Mature,10 ft.,Good
104,Colorado Blue Spruce,N/A,,,,Picea pungens,,Large,16 in.,Mature,10 ft.,Good
105,Crabapple,Memorial,0,Sofija Sonja Basaric,In ground marker,Malus sp,,Small,9 in.,Mature,10 ft.,Good
106,Eastern Redbud,Memorial,0,Herbert H. Grote,In ground marker,Cercis canadensis,CECA Cercis canadensis,Small,4 in.,Semi-mature,10 ft.,Good
107,Norway Maple,Memorial,2002,Thomas and Dorothy Hillman,In ground marker,Acer platanoides,ACPL Acer platanoides,Large,17 in.,Mature,15 ft.,Good
109,Elm,Memorial,0,William J. and Betty Roefer Haude,In ground marker,Ulmus sp,Accolade,Small,5 in.,Young,6 ft.,Good
110,Austrian Pine,N/A,,,,Pinus nigra,,Large,16 in.,Mature,15 ft.,Good
112,Bigleaf Linden,To honor,1997,Rev. Arlan E. Schlundt and Sharon Straube Schlundt,In ground marker,Tilia platyphyllos,Fastigiata,Large,18 in.,Semi-mature,15 ft.,Good
113,European Hornbeam,N/A,,,,Carpinus betulus,Pendula,Small,5 in.,Young,10 ft.,Good
114,Eastern Redbud,Memorial,0,Harold Grote,In ground marker,Cercis canadensis,CECA Cercis canadensis,Small,3 in.,Young,6 ft.,Good
115,Colorado Blue Spruce,N/A,,,,Picea pungens,,Large,13 in.,Mature,10 ft.,Good
117,Colorado Blue Spruce,N/A,,,,Picea pungens,,Large,12 in.,Mature,10 ft.,Good
118,Ohio Buckeye,To honor,0,Dr. Robert E. Koenig & Rev. Norma E. Koenig,In ground marker,Aesculus glabra,Flava Aition,Large,15 in.,Mature,15 ft.,Good
119,American Hophornbeam,To honor,1997,Jody Baty and Bill,In ground marker,Ostrya virginiana,,Small,3 in.,Young,10 ft.,Good
120,Bigleaf Linden,Memorial,1996,Edwin and Charlotte Skrzymowski,In ground marker,Tilia platyphyllos,Laciniata,Large,16 in.,Semi-mature,15 ft.,Good
121,Colorado Blue Spruce,N/A,,,,Picea pungens,,Large,13 in.,Mature,10 ft.,Good
122,American Linden,N/A,,,,Tilia americana,,Large,18 in.,Mature,15 ft.,Good
123,Colorado Blue Spruce,N/A,,,,Picea pungens,,Large,12 in.,Mature,10 ft.,Good
125,Littleleaf Linden,Memorial,2001,Jane Hermanson,In ground marker,Tilia cordata,Glenleven,Small,3 in.,Young,6 ft.,Good
126,American Beech,Memorial,0,Dorothy Fiegenbaum,In ground marker,Fagus grandifolia,,Medium,10 in.,Semi-mature,15 ft.,Good
127,Tuliptree,To honor,1993,Karl Henning Carlson,In ground marker,Liriodendron tulipifera,,Large,22 in.,Mature,20 ft.,Fair
128,Sugar Maple,To honor,1997,Trevor W. Pinch,In ground marker,Acer saccharum,,Large,12 in.,Semi-mature,15 ft.,Good
129,Sugar Maple,N/A,,,,Acer saccharum,,Large,9 in.,Semi-mature,15 ft.,Fair
130,Japanese Maple,Memorial,0,Rick Ferraro,In ground marker,Acer palmatum,,Small,4 in.,Mature,6 ft.,Good
131,Littleleaf Linden,To honor,1994,Ivan and Ruth Frick,In ground marker,Tilia cordata,,Large,17 in.,Mature,20 ft.,Good
132,Littleleaf Linden,Memorial,1991,Howard S. Hermanson,In ground marker,Tilia cordata,,Large,16 in.,Mature,20 ft.,Good
133,Sugar Maple,Class tree,2001,Class of 1951,In ground marker,Acer saccharum,,Large,13 in.,Semi-mature,15 ft.,Fair
134,Littleleaf Linden,Memorial,1996,Rose Weigand,In ground marker,Tilia cordata,,Large,20 in.,Mature,25 ft.,Good
135,Yellowwood,Memorial,0,Walter Wadepuhl,In ground marker,Cladrastis kentukea,,Large,10 in.,Mature,10 ft.,Good
136,Colorado Blue Spruce,N/A,,,,Picea pungens,,Large,17 in.,Mature,10 ft.,Good
137,Norway Maple,Memorial,1994,Wes McCain,In ground marker,Acer platanoides,Emerald Lustre,Small,2 in.,Young,4 ft.,Good
138,American Beech,Memorial,0,Mary H. Nelson,In ground marker,Fagus grandifolia,,Medium,10 in.,Semi-mature,15 ft.,Good
139,Sugar Maple,Memorial,1997,Florence S. Kammerer,In ground marker,Acer saccharum,,Large,11 in.,Semi-mature,15 ft.,Good
140,Crimean Linden,Memorial,2002,Roger S. Gavin,In ground marker,Tilia x euchlora,TIEU Tillia euchlora,Large,13 in.,Mature,15 ft.,Good
141,Red Maple,N/A,,,,Acer rubrum,October Glory,Medium,13 in.,Mature,15 ft.,Good
142,Kousa Dogwood,N/A,,,,Cornus kousa,,Small,4 in.,Mature,10 ft.,Good
143,Witchhazel,N/A,,,,Hamamelis virginiana,mollis 'Brevipetala',Small,2 in.,Mature,10 ft.,Good
144,Lilac,N/A,,,,Syringa sp,,Medium,4 in.,Mature,10 ft.,Good
145,Shingle Oak,To honor,0,John P. Weber,In ground marker,Quercus imbricaria,,Large,23 in.,Mature,25 ft.,Good
146,Pecan,To honor,0,Rev. Dr. Robert & Juanita Laaser,In ground marker,Carya illinoinensis,CAIL Carya illinonensis,Large,13 in.,Mature,15 ft.,Good
147,Kousa Dogwood,N/A,,,,Cornus kousa,,Small,4 in.,Mature,10 ft.,Good
149,Glossy Hawthorn,N/A,,,,Crataegus nitida,nitida,Medium,10 in.,Mature,10 ft.,Good
150,Oak,To honor,0,Rev. John Koenig & Rev. Wilhelm Baur,In ground marker,Quercus sp,frainetto 'Schmidt',Medium,11 in.,Semi-mature,10 ft.,Good
151,Northern Red Oak,N/A,,,,Quercus rubra,,Small,2 in.,New planting,1 ft.,Good
153,European Beech,Other,0,How much a heart can hold,In ground marker,Fagus sylvatica,Swat Magret,Medium,10 in.,Semi-mature,15 ft.,Good
154,Northern Red Oak,N/A,,,,Quercus rubra,,Large,15 in.,Semi-mature,15 ft.,Fair
155,Magnolia,N/A,,,,Magnolia sp,salicifolia Anise,Medium,6 in.,Mature,20 ft.,Good
156,Common Honeylocust,To honor,0,The Wolff's,In ground marker,Gleditsia triacanthos,,Large,24 in.,Mature,25 ft.,Good
157,Northern Red Oak,Memorial,0,Robert Swords,In ground marker,Quercus rubra,,Large,22 in.,Mature,15 ft.,Good
158,Elm,To honor,2007,Kenne and Candy Bristol,In ground marker,Ulmus sp,Accolade,Medium,8 in.,Semi-mature,15 ft.,Good
159,Star Magnolia,To honor,2009,Dr. Terry Madoch,In ground marker,Magnolia stellata,,Medium,3 in.,Mature,10 ft.,Good
160,Star Magnolia,To honor,2009,Dr. George Thoma Jr.,In ground marker,Magnolia stellata,,Medium,5 in.,Mature,10 ft.,Good
161,European Beech,Memorial,0,Hubert Frega,In ground marker,Fagus sylvatica,Grandidentata,Medium,8 in.,Semi-mature,15 ft.,Good
163,Common Sweetgum,Memorial,1991,Patricia Patterson,In ground marker,Liquidambar styraciflua,,Large,14 in.,Mature,15 ft.,Good
164,Eastern Redcedar,N/A,,,,Juniperus virginiana,,Large,8 in.,Mature,6 ft.,Good
165,Shingle Oak,To honor,0,Thomas Price,In ground marker,Quercus imbricaria,,Large,16 in.,Semi-mature,15 ft.,Fair
166,American Elm,To honor,2000,College Advancement Staff,In ground marker,Ulmus americana,,Large,24 in.,Mature,15 ft.,Good
167,Eastern Redcedar,N/A,,,,Juniperus virginiana,,Large,8 in.,Mature,10 ft.,Good
169,Common Sweetgum,To honor,2004,Bryant and Jeanette Cureton,In ground marker,Liquidambar styraciflua,Variegata 'Silver King',Small,1 in.,New planting,1 ft.,Fair
170,Sycamore Maple,N/A,,,,Acer pseudoplatanus,pseudosieboldianum,Medium,8 in.,Semi-mature,10 ft.,Good
171,Star Magnolia,N/A,,,,Magnolia stellata,,Small,4 in.,Mature,10 ft.,Good
172,Amur Maple,Memorial,2016,Victor H. Dobrowolski,,Acer ginnala,,Small,4 in.,Semi-mature,6 ft.,Good
173,Hedge Maple,Memorial,1987,Robert Ryan,In ground marker,Acer campestre,,Medium,12 in.,Mature,15 ft.,Good
174,Chinese Chestnut,N/A,,,,Castanea mollissima,,Medium,4 in.,Semi-mature,10 ft.,Fair
175,Amur Maple,N/A,,,,Acer ginnala,Bailey's Compact,Medium,4 in.,Mature,10 ft.,Good
176,Northern Red Oak,Other,0,Gladys A. and Raymond D. Robinson,In ground marker,Quercus rubra,,Medium,9 in.,Young,10 ft.,Good
177,Star Magnolia,N/A,,,,Magnolia stellata,,Small,2 in.,Young,1 ft.,Good
179,English Oak,To honor,0,William Bailey,In ground marker,Quercus robur,,Large,28 in.,Mature,25 ft.,Good
180,Black Maple,To honor,0,Richard J. Breed M.D.,In ground marker,Acer nigrum,see photo,Large,12 in.,Semi-mature,0 ft.,Good
181,Eastern Redcedar,N/A,,,,Juniperus virginiana,,Large,14 in.,Mature,10 ft.,Good
182,Norway Maple,Memorial,1989,Peter and Maude Meyer,In ground marker,Acer platanoides,Emerald Queen,Medium,3 in.,Young,6 ft.,Good
183,American Elm,To honor,2007,Alexandra Zakos,In ground marker,Ulmus americana,,Large,35 in.,Mature,25 ft.,Good
184,Black Maple,N/A,2015,Grace Bade,,Acer nigrum,,Medium,9 in.,Semi-mature,10 ft.,Good
185,Austrian Pine,N/A,,,,Pinus nigra,,Medium,8 in.,Semi-mature,10 ft.,Good
186,Austrian Pine,N/A,,,,Pinus nigra,,Medium,17 in.,Semi-mature,10 ft.,Good
187,Austrian Pine,N/A,,,,Pinus nigra,,Medium,21 in.,Semi-mature,10 ft.,Good
188,Yellowwood,N/A,,,,Cladrastis kentukea,,Small,5 in.,Semi-mature,6 ft.,Fair
189,Shantung Maple,Memorial,2012,Kathy Langstraat,In ground marker,Acer truncatum,,Small,4 in.,Semi-mature,10 ft.,Good
190,European Beech,N/A,,,,Fagus sylvatica,Rotundifolia,Medium,5 in.,Semi-mature,10 ft.,Good
191,European Beech,To honor,2001,Darlene and Jim Keating,In ground marker,Fagus sylvatica,Purple Fountain,Medium,6 in.,Semi-mature,10 ft.,Good
194,Siberian Elm,N/A,,,,Ulmus pumila,,Large,29 in.,Mature,15 ft.,Good
195,Siberian Elm,N/A,,,,Ulmus pumila,,Large,20 in.,Mature,15 ft.,Good
196,Colorado Blue Spruce,N/A,,,,Picea pungens,,Medium,11 in.,Semi-mature,10 ft.,Good
197,Colorado Blue Spruce,N/A,,,,Picea pungens,,Small,2 in.,Young,6 ft.,Good
198,Colorado Blue Spruce,N/A,,,,Picea pungens,,Medium,9 in.,Semi-mature,10 ft.,Good
199,Colorado Blue Spruce,N/A,,,,Picea pungens,,Medium,8 in.,Semi-mature,10 ft.,Good
200,Colorado Blue Spruce,N/A,,,,Picea pungens,,Medium,10 in.,Semi-mature,10 ft.,Good
201,Silver Linden,To honor,2011,Harold E. Pendexter,In ground marker,Tilia tomentosa,,Large,15 in.,Semi-mature,15 ft.,Good
202,Japanese Tree Lilac,N/A,,,,Syringa reticulata,,Small,2 in.,Semi-mature,6 ft.,Good
203,Japanese Tree Lilac,N/A,,,,Syringa reticulata,,Small,2 in.,Semi-mature,6 ft.,Good
204,Silver Linden,To honor,2011,William J. McCarter,In ground marker,Tilia tomentosa,,Large,17 in.,Semi-mature,15 ft.,Good
206,Sugar Maple,Memorial,1999,Dr. Charles D. England,In ground marker,Acer saccharum,,Large,19 in.,Mature,15 ft.,Good
208,European Beech,Memorial,1989,Roy Wiemerslage,In ground marker,Fagus sylvatica,Atropunicea,Large,24 in.,Mature,20 ft.,Good
212,European Beech,Memorial,1992,Rev. Oscar & Erna Bohnert,In ground marker,Fagus sylvatica,Atropunicea,Large,27 in.,Mature,15 ft.,Good
214,Turkish Filbert,N/A,,,,Corylus colurna,avellana,Small,2 in.,Semi-mature,6 ft.,Good
215,European Beech,To honor,0,Ana M. Eng & Joseph D. Cavolick,In ground marker,Fagus sylvatica,Roseomarginata,Small,5 in.,Semi-mature,10 ft.,Good
216,Common Honeylocust,N/A,,,,Gleditsia triacanthos,Sky Cole,Medium,7 in.,Semi-mature,15 ft.,Good
217,Eastern Arborvitae,N/A,,,,Thuja occidentalis,,Small,3 in.,Semi-mature,6 ft.,Good
219,Chestnut Oak,Memorial,1990,Joan Bougher,In ground marker,Quercus prinus,,Large,23 in.,Mature,20 ft.,Good
220,Northern Red Oak,Memorial,0,Judge George W. Unverzagt,In ground marker,Quercus rubra,,Small,2 in.,Young,6 ft.,Good
221,Eastern Redcedar,Memorial,2009,Edna Tourangeau,In ground marker,Juniperus virginiana,,Medium,8 in.,Semi-mature,0 ft.,Good
222,Eastern Redcedar,N/A,,,,Juniperus virginiana,,Medium,8 in.,Semi-mature,6 ft.,Good
227,Northern Red Oak,Memorial,0,Robert A. Pape,In ground marker,Quercus rubra,borealis,Large,19 in.,Semi-mature,20 ft.,Good
228,Red Maple,Memorial,0,Bonnie L. Weideman,In ground marker,Acer rubrum,Red Sunset,Small,2 in.,New planting,4 ft.,Good
229,Common Sweetgum,To honor,2007,Don and Marjorie Sveen,In ground marker,Liquidambar styraciflua,,Large,15 in.,Semi-mature,15 ft.,Good
233,Eastern White Pine,To honor,2008,Dr. S. Alan Ray,,Pinus strobus,,Large,14 in.,Semi-mature,15 ft.,Good
235,Sweetbay Magnolia,To honor,2009,Hansen Family Legacy,In ground marker,Magnolia virginiana,,Medium,6 in.,Semi-mature,10 ft.,Good
239,Douglas Fir,N/A,,,,Pseudotsuga menziesii,,Medium,5 in.,Semi-mature,10 ft.,Good
240,Fraser Fir,N/A,,,,Abies fraseri,,Medium,10 in.,Semi-mature,10 ft.,Good
241,Castor Aralia,N/A,,,,Kalopanax pictus,KOPI Kolopanax pictus,Small,3 in.,Young,6 ft.,Good
242,Oriental Spruce,N/A,,,,Picea orientalis,,Small,3 in.,Young,6 ft.,Good
243,Five Stamen Tamarisk,N/A,,,,Tamarix ramosissima,,Small,3 in.,Semi-mature,10 ft.,Good
244,European Beech,To honor,0,Joel and Nancy Herter,In ground marker,Fagus sylvatica,Roseomarginata,Small,3 in.,Young,6 ft.,Good
245,Callery Pear,To honor,0,Nancy Breed-Mackin,In ground marker,Pyrus calleryana,Bradford Callery Pear,Large,14 in.,Mature,20 ft.,Good
246,Northern Red Oak,N/A,0,"Paul, Jillian, and Emily",,Quercus rubra,,Medium,12 in.,Semi-mature,15 ft.,Good
250,Eastern Redcedar,N/A,,,,Juniperus virginiana,see photo,Medium,9 in.,Semi-mature,10 ft.,Good
251,Eastern Redcedar,N/A,,,,Juniperus virginiana,see photo,Medium,12 in.,Semi-mature,10 ft.,Good
252,Bur Oak,Memorial,0,John J Groch Jr.,In ground marker,Quercus macrocarpa,Swamp Bur Oak,Medium,11 in.,Semi-mature,10 ft.,Good
253,Chestnut Oak,To honor,0,Ruth Caryl Breed Licht,In ground marker,Quercus prinus,,Medium,20 in.,Semi-mature,15 ft.,Good
254,English Oak,Memorial,1992,Lillian Olson,In ground marker,Quercus robur,,Medium,12 in.,Semi-mature,15 ft.,Good
255,Eastern Arborvitae,N/A,,,,Thuja occidentalis,,Small,3 in.,Semi-mature,6 ft.,Good
256,Common Honeylocust,To honor,2012,Arielle Zakos,In ground marker,Gleditsia triacanthos,Skyline,Medium,6 in.,Semi-mature,10 ft.,Good
257,Northern Red Oak,Memorial,1992,Diane O'Malley,In ground marker,Quercus rubra,,Large,20 in.,Semi-mature,20 ft.,Good
259,Swiss Stone Pine,N/A,,,,Pinus cembra,,Medium,11 in.,Semi-mature,10 ft.,Good
260,American Hophornbeam,N/A,,,,Ostrya virginiana,,Medium,8 in.,Semi-mature,10 ft.,Good
261,Littleleaf Linden,Class tree,1999,49ers 50th Reunion,In ground marker,Tilia cordata,,Large,18 in.,Mature,20 ft.,Good
262,Tuliptree,Memorial,0,Herman G. Borne,In ground marker,Liriodendron tulipifera,,Large,14 in.,Semi-mature,15 ft.,Good
264,Limber Pine,N/A,2014,Rachel Gibson,,Pinus flexilis,Vanderwolf's Pyramid,Small,5 in.,Young,6 ft.,Good
265,Tuliptree,Memorial,0,Henry G. Schuessler,In ground marker,Liriodendron tulipifera,,Large,19 in.,Semi-mature,20 ft.,Good
266,Lavalle Hawthorn,N/A,2015,Marcus Nestor,,Crataegus x lavallei,,Medium,9 in.,Mature,15 ft.,Good
268,American Smoketree,N/A,,,,Cotinus obovatus,,Small,3 in.,Mature,10 ft.,Good
270,Bur Oak,Retirement,2013,Dr. Frank Mittermeyer,In ground marker,Quercus macrocarpa,,Small,2 in.,Young,6 ft.,Good
271,Ginkgo,To honor,1992,Kimberly Beisswanger,In ground marker,Ginkgo biloba,,Medium,9 in.,Semi-mature,15 ft.,Good
280,Crabapple,Class tree,1992,Deicke Center for Nursing Class of 1992,In ground marker,Malus sp,baccata Siberian Crab,Medium,6 in.,Semi-mature,10 ft.,Good
281,Shumard Oak,To honor,2000,Ragnar Moen,In ground marker,Quercus shumardii,,Large,28 in.,Mature,20 ft.,Good
282,Sugar Maple,Class tree,1985,1985 Nursing Class,In ground marker,Acer saccharum,,Medium,11 in.,Semi-mature,15 ft.,Good
285,Elm,To honor,2008,Class of 2008 & Dr & Mrs. Cureton,In ground marker,Ulmus sp,Accolade,Small,5 in.,Young,10 ft.,Good
286,Red Maple,Memorial,0,Phyllis and Tom Cooper,In ground marker,Acer rubrum,Red Sunset,Medium,3 in.,Young,10 ft.,Good
288,Northern Red Oak,To honor,0,Margaret Breed Senter,In ground marker,Quercus rubra,,Medium,13 in.,Semi-mature,15 ft.,Good
310,Chittamwood,N/A,,,,Bumelia lanuginosa,Oblongifolia,Medium,5 in.,Semi-mature,10 ft.,Good
324,Star Magnolia,N/A,,,,Magnolia stellata,pink,Small,1 in.,Semi-mature,6 ft.,Good
325,European Beech,Memorial,0,William W. Wright,In ground marker,Fagus sylvatica,Roseomarginata,Medium,12 in.,Semi-mature,10 ft.,Good
326,Common Pearlbush,N/A,,,,Exochorda racemosa,,Small,3 in.,Semi-mature,10 ft.,Good
327,Northern Red Oak,N/A,,,,Quercus rubra,,Large,18 in.,Semi-mature,20 ft.,Good
328,White Fringetree,N/A,,,,Chionanthus virginicus,,Small,2 in.,Semi-mature,6 ft.,Good
329,European Beech,To honor,1999,Ro Kostiwa and Ana M. Eng,In ground marker,Fagus sylvatica,Roseomarginata,Medium,10 in.,Semi-mature,10 ft.,Good
330,Chestnut Oak,Memorial,0,Ralph J. LaBrack,In ground marker,Quercus prinus,,Large,20 in.,Mature,20 ft.,Good
331,Chinkapin Oak,To honor,2014,Jean Augensen Forster,In ground marker,Quercus muehlenbergii,,Medium,9 in.,Semi-mature,10 ft.,Good
332,Canadian Hemlock,N/A,,,,Tsuga canadensis,,Small,2 in.,Semi-mature,6 ft.,Good
333,Canadian Hemlock,N/A,,,,Tsuga canadensis,,Small,2 in.,Semi-mature,6 ft.,Good
334,Hawthorn,N/A,,,,Crataegus sp,persimilis Prunifolia,Medium,4 in.,Mature,10 ft.,Good
335,Eastern White Pine,N/A,,,,Pinus strobus,,Small,2 in.,Young,6 ft.,Good
336,Canadian Hemlock,N/A,,,,Tsuga canadensis,,Small,1 in.,Semi-mature,6 ft.,Good
338,Sugar Maple,Memorial,2011,Colin Pascoe,In ground marker,Acer saccharum,,Large,17 in.,Semi-mature,15 ft.,Good
339,American Elm,Memorial,2003,Margaret Ruth Lambrecht,In ground marker,Ulmus americana,,Large,32 in.,Mature,25 ft.,Good
340,Northern Pin Oak,Memorial,1997,Ryan Schrader and Jon Partipilo,In ground marker,Quercus ellipsoidalis,,Medium,12 in.,Semi-mature,15 ft.,Good
341,Northern Red Oak,Memorial,0,Carol Sutter Eads,In ground marker,Quercus rubra,,Small,1 in.,New planting,6 ft.,Good
342,Northern Red Oak,To honor,1992,Fellowship of Cavaliers,In ground marker,Quercus rubra,,Large,15 in.,Semi-mature,20 ft.,Good
343,White Oak,Memorial,0,Bessie L. Ricci,In ground marker,Quercus alba,,Large,12 in.,Semi-mature,15 ft.,Good
345,Bur Oak,To honor,2002,Proud Eagle,In ground marker,Quercus macrocarpa,,,12 in.,Semi-mature,20 ft.,Good
346,Bur Oak,N/A,,,,Quercus macrocarpa,,Large,19 in.,Semi-mature,20 ft.,Good
349,Norway Spruce,N/A,,,,Picea abies,PIAB Picea abies,Large,12 in.,Semi-mature,10 ft.,Good
350,Norway Spruce,N/A,,,,Picea abies,PIAB Picea abies,Large,12 in.,Semi-mature,10 ft.,Good
351,Swamp White Oak,N/A,,,,Quercus bicolor,,Large,23 in.,Semi-mature,10 ft.,Good
352,Swamp White Oak,N/A,,,,Quercus bicolor,,Large,18 in.,Semi-mature,10 ft.,Good
353,Swamp White Oak,N/A,,,,Quercus bicolor,,Large,18 in.,Semi-mature,10 ft.,Good
354,Swamp White Oak,N/A,,,,Quercus bicolor,,Large,18 in.,Semi-mature,10 ft.,Good
355,Hawthorn,N/A,,,,Crataegus sp,intricata,Medium,4 in.,Semi-mature,10 ft.,Fair
356,Hawthorn,N/A,,,,Crataegus sp,intricata,Medium,4 in.,Semi-mature,10 ft.,Fair
357,Swamp White Oak,N/A,,,,Quercus bicolor,,Large,15 in.,Semi-mature,15 ft.,Good
358,Swamp White Oak,N/A,,,,Quercus bicolor,,Large,19 in.,Semi-mature,15 ft.,Good
361,Littleleaf Linden,N/A,,,,Tilia cordata,,Large,12 in.,Semi-mature,15 ft.,Good
362,Sugar Maple,N/A,,,,Acer saccharum,Green Mountain,Large,14 in.,Semi-mature,15 ft.,Good
363,Swamp White Oak,N/A,,,,Quercus bicolor,,Large,22 in.,Semi-mature,15 ft.,Good
364,Hawthorn,N/A,,,,Crataegus sp,,Medium,6 in.,Semi-mature,10 ft.,Fair
366,Kousa Dogwood,N/A,,,,Cornus kousa,Wolf Eyes,Small,1 in.,Young,6 ft.,Good
367,Hawthorn,N/A,,,,Crataegus sp,crusgalli,Medium,3 in.,Semi-mature,10 ft.,Good
368,Hawthorn,N/A,,,,Crataegus sp,crusgalli,Medium,3 in.,Semi-mature,10 ft.,Good
369,Cornelian Cherry Dogwood,N/A,,,,Cornus mas,,Medium,4 in.,Semi-mature,10 ft.,Good
371,Eastern Redcedar,N/A,,,,Juniperus virginiana,,Medium,10 in.,Semi-mature,10 ft.,Good
372,Eastern Redcedar,N/A,,,,Juniperus virginiana,,Medium,13 in.,Semi-mature,10 ft.,Good
373,Crabapple,N/A,,,,Malus sp,Beverly,Medium,14 in.,Semi-mature,10 ft.,Good
374,Katsuratree,N/A,,,,Cercidiphyllum japonicum,red fox,Small,1 in.,New planting,6 ft.,Good
375,Amur Corktree,N/A,,,,Phellodendron amurense,,Large,14 in.,Semi-mature,10 ft.,Good
376,Red Maple,Memorial,0,Charles W. Gilbert,In ground marker,Acer rubrum,,Large,19 in.,Semi-mature,15 ft.,Good
377,Douglas Fir,N/A,,,,Pseudotsuga menziesii,weeping,Medium,3 in.,Semi-mature,10 ft.,Good
378,Common Baldcypress,N/A,,,,Taxodium distichum,,Large,23 in.,Semi-mature,10 ft.,Good
381,Red Maple,N/A,,,,Acer rubrum,,Small,2 in.,Young,6 ft.,Good
382,Northern Red Oak,N/A,,,,Quercus rubra,,Small,2 in.,Young,6 ft.,Good
383,Northern Red Oak,N/A,,,,Quercus rubra,,Small,2 in.,Young,6 ft.,Good
384,Red Maple,N/A,,,,Acer rubrum,,Small,2 in.,Young,6 ft.,Good
385,American Hornbeam,N/A,,,,Carpinus caroliniana,,Small,2 in.,Young,6 ft.,Good
386,Kobus Magnolia,N/A,,,,Magnolia kobus,,Large,8 in.,Semi-mature,10 ft.,Good
388,Kentucky Coffeetree,N/A,,,,Gymnocladus dioicus,,Medium,12 in.,Semi-mature,15 ft.,Good
389,Norway Maple,N/A,,,,Acer platanoides,ACPL Acer platanoides,Medium,9 in.,Semi-mature,10 ft.,Good
390,Hardy Rubber Tree,N/A,,,,Eucommia ulmoides,,Medium,10 in.,Semi-mature,10 ft.,Good
391,Chestnut Oak,N/A,,,,Quercus prinus,,Medium,12 in.,Semi-mature,10 ft.,Good
392,Royal Paulownia Princess Tree,N/A,,,,Paulownia tomentosa,,Medium,11 in.,Semi-mature,10 ft.,Good
394,Silver Linden,N/A,,,,Tilia tomentosa,,Medium,12 in.,Semi-mature,15 ft.,Good
395,Loebner Magnolia,N/A,,,,Magnolia x loebneri,Merrill,Small,1 in.,Semi-mature,6 ft.,Good
396,Loebner Magnolia,N/A,,,,Magnolia x loebneri,Merrill,Small,1 in.,Semi-mature,6 ft.,Good
397,Loebner Magnolia,N/A,,,,Magnolia x loebneri,Merrill,Small,2 in.,Semi-mature,6 ft.,Good
398,Loebner Magnolia,N/A,,,,Magnolia x loebneri,Merrill,Small,1 in.,Semi-mature,6 ft.,Good
399,Loebner Magnolia,N/A,,,,Magnolia x loebneri,Merrill,Small,1 in.,Semi-mature,6 ft.,Good
400,Loebner Magnolia,N/A,,,,Magnolia x loebneri,Ballerina,Small,1 in.,Semi-mature,6 ft.,Good
401,European Beech,Memorial,2000,Elizabeth H. Licht,In ground marker,Fagus sylvatica,Atropunicea,Large,17 in.,Mature,20 ft.,Good
402,Bur Oak,N/A,,,,Quercus macrocarpa,,Large,29 in.,Mature,25 ft.,Fair
403,Northern Red Oak,Memorial,0,Rev. Edward K. Bergstraesser,In ground marker,Quercus rubra,,Small,2 in.,Young,6 ft.,Good
404,European Beech,To honor,2000,John and Priscilla Licht,In ground marker,Fagus sylvatica,Atropunicea,Large,20 in.,Mature,20 ft.,Good
405,European Beech,N/A,,,,Fagus sylvatica,FASY Fagus sylvatica,Medium,14 in.,Young,15 ft.,Good
407,Ponderosa Pine,N/A,,,,Pinus ponderosa,,Large,13 in.,Mature,10 ft.,Good
408,Callery Pear,N/A,,,,Pyrus calleryana,PYCABR Pyrus calleryana,Medium,14 in.,Mature,15 ft.,Good
409,Katsuratree,N/A,,,,Cercidiphyllum japonicum,,Small,2 in.,Young,6 ft.,Good
411,Amur Maple,N/A,,,,Acer ginnala,,Medium,3 in.,Semi-mature,6 ft.,Good
413,Northern Red Oak,To honor,2017,Dr. Jon L. Johnson,,Quercus rubra,,Medium,9 in.,Young,10 ft.,Good
416,Northern Red Oak,To honor,2012,Dr. Walter E. Burdick,In ground marker,Quercus rubra,,Large,13 in.,Semi-mature,15 ft.,Good
