tree_id,tree_name,dedication_type,dedication_year,dedication_honoree,dedication_desc,scientific_name,additional_taxonomy,height_class,diameter_breast_height,age_class,canopy_radius,condition
831,American Hornbeam,,,,,Carpinus caroliniana,,Medium,3 in.,Semi-mature,4 ft.,Good
835,Chinese False Privet,,,,,Fontanesia fortunei,Fontanesia fortunei,Medium,3 in.,Semi-mature,4 ft.,Good
837,Seven-son Flower,,,,,Heptacodium miconioides,Heptacodium miconioides,Small,3 in.,Young,6 ft.,Good
838,Seven-son Flower,,,,,Heptacodium miconioides,Heptacodium miconioides,Small,3 in.,Young,6 ft.,Good
839,Carolina Silverbell,,,,,Halesia carolina,,Medium,2 in.,Young,4 ft.,Good
840,Tuliptree,,,,,Liriodendron tulipifera,,Medium,4 in.,Young,6 ft.,Good
841,Eastern White Pine,,,,,Pinus strobus,,Medium,6 in.,Semi-mature,4 ft.,Good
842,Eastern White Pine,,,,,Pinus strobus,,Medium,6 in.,Semi-mature,6 ft.,Good
843,European Beech,,,,,Fagus sylvatica,,Medium,6 in.,Semi-mature,4 ft.,Good
844,Eastern White Pine,,,,,Pinus strobus,,Medium,6 in.,Semi-mature,6 ft.,Good
845,White Spruce,,,,,Picea glauca,,Small,1 in.,New planting,2 ft.,Good
849,White Spruce,,,,,Picea glauca,,Small,1 in.,New planting,2 ft.,Good
851,White Spruce,,,,,Picea glauca,,Small,1 in.,New planting,2 ft.,Good
853,European Beech,,,,,Fagus sylvatica,Red Obelisk,Small,2 in.,New planting,2 ft.,Good
854,Colorado Blue Spruce,,,,,Picea pungens,Gebelle's Golden Spring,Small,1.5 in.,New planting,4 ft.,Good
855,Colorado Blue Spruce,,,,,Picea pungens,Gebelle's Golden Spring,Small,1.5 in.,Young,4 ft.,Good
856,Colorado Blue Spruce,,,,,Picea pungens,Gebelle's Golden Spring,Small,1.5 in.,New planting,4 ft.,Good
857,Dutch Elm,,,,,Ulmus x hollandica,Wredei,Small,2 in.,New planting,2 ft.,Good
860,Red Maple,Memorial,0,Mary Hart Zink,In ground marker,Acer rubrum,Autumn Flame,Small,2 in.,New planting,4 ft.,Good
861,Littleleaf Linden,Memorial,0,"Leo F. ""Bud"" Obriecht",In ground marker,Tilia cordata,Greenspire,Small,2 in.,New planting,2 ft.,Good
863,Sugar Maple,Memorial,1988,Charles J. Kerbec,In ground marker,Acer saccharum,Green Mountain,Small,2 in.,New planting,2 ft.,Good
864,Common Baldcypress,,,,,Taxodium distichum,Shawnee Brave,Small,2 in.,New planting,4 ft.,Good
865,Alaska Yellow Cedar,,,,,Xanthocyparis nootkatensis,Pendula,Medium,2 in.,New planting,6 ft.,Good
866,Japanese White Pine,,,,,Pinus parviflora,Cleary,Small,1 in.,New planting,2 ft.,Good
867,Japanese White Pine,,,,,Pinus parviflora,Cleary,Small,1 in.,New planting,2 ft.,Good
868,Crabapple,,,,,Malus sp,Sargentii,Small,1.5 in.,Young,4 ft.,Good
869,Crabapple,,,,,Malus sp,Sargentii,Small,1.5 in.,Young,4 ft.,Good
870,Crabapple,,,,,Malus sp,Sargentii,Small,1.5 in.,Young,4 ft.,Good
871,Cherry,,,,,Prunus sp,Dream Catcher,Medium,1.5 in.,Young,6 ft.,Good
872,Cherry,,,,,Prunus sp,Dream Catcher,Medium,1.5 in.,New planting,6 ft.,Good
873,Cherry,,,,,Prunus sp,Dream Catcher,Medium,1.5 in.,Young,6 ft.,Good
876,Seven-son Flower,,,,,Heptacodium miconioides,Heptacodium miconioides,Medium,2 in.,Young,6 ft.,Good
877,Seven-son Flower,,,,,Heptacodium miconioides,Heptacodium miconioides,Medium,2 in.,Young,6 ft.,Good
878,Seven-son Flower,,,,,Heptacodium miconioides,Heptacodium miconioides,Medium,2 in.,Young,6 ft.,Good
879,Seven-son Flower,,,,,Heptacodium miconioides,Heptacodium miconioides,Medium,2 in.,Young,6 ft.,Good
880,Seven-son Flower,,,,,Heptacodium miconioides,Heptacodium miconioides,Medium,2 in.,Young,6 ft.,Good
881,Green Hawthorn,Memorial,2014,Grant A. Larocque,In ground marker,Crataegus viridis,Winter King,Medium,3 in.,New planting,6 ft.,Good
883,Elm,,,,,Ulmus sp,'Frontier',Small,1.75 in.,Young,6 ft.,Good
884,Serviceberry,To honor,2014,Dr. Lawrence B. Carroll,In ground marker,Amelanchier sp,x grandiflora,Medium,,Semi-mature,0 ft.,Good
885,European Beech,,,,,Fagus sylvatica,Spaethiana,Small,2 in.,New planting,2 ft.,Good
886,Smoothleaf Elm,,,,,Ulmus carpinifolia,Morton Glossy/Triumph,Medium,9.98 in.,Young,8 ft.,Good
887,European Hornbeam,,,,,Carpinus betulus,Frans Fontaine,Small,1 in.,New planting,2 ft.,Good
890,Elm,,,,,Ulmus sp,New Horizon,Small,2.5 in.,New planting,4 ft.,Good
891,White Mulberry,,,,,Morus alba,Pendula,Medium,4 in.,Semi-mature,6 ft.,Good
892,Lilac,,,,,Syringa sp,Persian Lilac,Small,3 in.,Semi-mature,4 ft.,Fair
893,White Fringetree,,,,,Chionanthus virginicus,retusus - Chinese Fringe,Medium,3 in.,Semi-mature,0 ft.,Fair
894,Pine,,,,,Pinus sp,densiflora 'Pendula',Small,3 in.,Semi-mature,4 ft.,Good
895,Limber Pine,,,,,Pinus flexilis,Glauca Pendula,Small,3 in.,Semi-mature,6 ft.,Good
896,Ginkgo,,2015,Dr. William F. Fraccaro,,Ginkgo biloba,Autumn Gold,Small,2.5 in.,New planting,2 ft.,Good
897,Oak,,2015,Robb Frank,,Quercus sp,Kindred Spirit,Medium,3 in.,Young,4 ft.,Good
899,Kentucky Coffeetree,,,,,Gymnocladus dioicus,'Expresso',Small,2 in.,New planting,4 ft.,Good
